Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.20,-.12,-.23,-.21,-.09,-.16,-.23,-.20,-.22,-.19,***,***,-.14,-.18,-.19
1881,-.15,-.17,.04,.04,.02,-.20,-.07,-.02,-.14,-.21,-.22,-.11,-.10,-.11,-.18,.03,-.10,-.19
1882,.14,.14,.03,-.19,-.16,-.26,-.21,-.06,-.10,-.25,-.16,-.25,-.11,-.10,.06,-.11,-.18,-.17
1883,-.32,-.39,-.13,-.17,-.20,-.13,-.08,-.15,-.21,-.14,-.23,-.16,-.19,-.20,-.32,-.17,-.12,-.19
1884,-.16,-.09,-.37,-.43,-.37,-.41,-.35,-.27,-.27,-.25,-.30,-.29,-.30,-.29,-.14,-.39,-.34,-.27
1885,-.59,-.30,-.25,-.43,-.42,-.45,-.36,-.32,-.24,-.19,-.20,-.05,-.32,-.34,-.39,-.37,-.37,-.21
1886,-.42,-.46,-.39,-.28,-.26,-.39,-.22,-.34,-.26,-.29,-.31,-.27,-.32,-.31,-.31,-.31,-.32,-.29
1887,-.73,-.53,-.34,-.39,-.32,-.24,-.24,-.32,-.23,-.33,-.24,-.34,-.35,-.35,-.51,-.35,-.27,-.27
1888,-.38,-.36,-.41,-.23,-.22,-.19,-.10,-.16,-.10,.01,.00,-.07,-.18,-.21,-.36,-.29,-.15,-.03
1889,-.12,.18,.07,.07,-.03,-.14,-.10,-.20,-.22,-.23,-.33,-.30,-.11,-.09,.00,.04,-.15,-.26
1890,-.45,-.45,-.40,-.37,-.46,-.27,-.27,-.38,-.40,-.25,-.49,-.32,-.38,-.37,-.40,-.41,-.31,-.38
1891,-.42,-.47,-.19,-.28,-.19,-.21,-.21,-.16,-.14,-.22,-.35,-.05,-.24,-.26,-.41,-.22,-.19,-.24
1892,-.28,-.12,-.36,-.35,-.25,-.24,-.32,-.25,-.13,-.12,-.41,-.39,-.27,-.24,-.15,-.32,-.27,-.22
1893,-.80,-.54,-.23,-.30,-.36,-.28,-.16,-.26,-.20,-.16,-.16,-.35,-.32,-.32,-.57,-.30,-.23,-.18
1894,-.53,-.33,-.25,-.48,-.35,-.44,-.26,-.22,-.24,-.20,-.25,-.19,-.31,-.32,-.40,-.36,-.30,-.23
1895,-.44,-.42,-.28,-.24,-.27,-.24,-.17,-.16,-.09,-.08,-.14,-.15,-.22,-.23,-.35,-.26,-.19,-.10
1896,-.25,-.14,-.25,-.30,-.18,-.14,-.04,-.04,-.03,.12,-.07,-.03,-.11,-.12,-.18,-.25,-.07,.00
1897,-.14,-.15,-.13,-.02,-.05,-.16,-.07,-.11,-.07,-.12,-.19,-.19,-.12,-.10,-.11,-.07,-.11,-.13
1898,-.03,-.29,-.51,-.33,-.32,-.20,-.24,-.25,-.21,-.33,-.38,-.25,-.28,-.27,-.17,-.38,-.23,-.31
1899,-.19,-.40,-.34,-.20,-.23,-.33,-.18,-.06,-.03,-.05,.12,-.28,-.18,-.18,-.28,-.26,-.19,.01
1900,-.37,-.02,.02,-.12,-.10,-.12,-.13,-.10,-.04,.09,-.09,-.07,-.09,-.11,-.22,-.07,-.12,-.01
1901,-.23,-.03,.08,-.03,-.16,-.12,-.15,-.20,-.21,-.30,-.16,-.27,-.15,-.13,-.11,-.04,-.16,-.23
1902,-.20,-.03,-.29,-.30,-.35,-.35,-.29,-.33,-.29,-.30,-.39,-.46,-.30,-.28,-.17,-.32,-.32,-.33
1903,-.26,-.04,-.23,-.43,-.45,-.46,-.37,-.48,-.48,-.48,-.44,-.52,-.39,-.38,-.25,-.37,-.44,-.47
1904,-.67,-.58,-.50,-.54,-.55,-.51,-.53,-.50,-.52,-.39,-.20,-.34,-.49,-.50,-.59,-.53,-.51,-.37
1905,-.39,-.59,-.22,-.35,-.32,-.30,-.29,-.21,-.18,-.24,-.09,-.17,-.28,-.29,-.44,-.30,-.27,-.17
1906,-.27,-.29,-.16,-.04,-.23,-.20,-.24,-.19,-.26,-.18,-.38,-.15,-.22,-.22,-.25,-.14,-.21,-.27
1907,-.40,-.50,-.26,-.38,-.46,-.43,-.36,-.34,-.32,-.23,-.47,-.47,-.39,-.36,-.35,-.36,-.37,-.34
1908,-.42,-.30,-.53,-.44,-.40,-.40,-.39,-.46,-.35,-.44,-.49,-.48,-.43,-.42,-.40,-.46,-.42,-.43
1909,-.68,-.46,-.50,-.59,-.55,-.52,-.44,-.30,-.34,-.36,-.30,-.54,-.47,-.46,-.54,-.55,-.42,-.33
1910,-.43,-.43,-.50,-.39,-.34,-.37,-.34,-.35,-.35,-.38,-.53,-.66,-.42,-.41,-.47,-.41,-.35,-.42
1911,-.63,-.57,-.59,-.53,-.51,-.47,-.40,-.41,-.37,-.22,-.17,-.21,-.42,-.46,-.62,-.54,-.43,-.25
1912,-.25,-.11,-.34,-.19,-.21,-.25,-.43,-.54,-.50,-.56,-.37,-.42,-.35,-.33,-.19,-.25,-.41,-.48
1913,-.41,-.42,-.42,-.39,-.46,-.48,-.35,-.33,-.35,-.33,-.18,-.02,-.34,-.38,-.42,-.42,-.39,-.28
1914,.05,-.10,-.21,-.28,-.22,-.26,-.24,-.13,-.12,-.03,-.17,-.07,-.15,-.14,-.02,-.24,-.21,-.11
1915,-.16,.01,-.08,.07,-.05,-.19,-.09,-.19,-.16,-.24,-.11,-.15,-.11,-.11,-.07,-.02,-.16,-.17
1916,-.08,-.11,-.27,-.29,-.31,-.45,-.35,-.24,-.31,-.26,-.38,-.79,-.32,-.27,-.11,-.29,-.35,-.32
1917,-.57,-.60,-.59,-.49,-.54,-.42,-.24,-.21,-.17,-.39,-.27,-.66,-.43,-.44,-.65,-.54,-.29,-.28
1918,-.41,-.30,-.23,-.44,-.44,-.34,-.31,-.29,-.14,-.04,-.09,-.26,-.27,-.31,-.46,-.37,-.31,-.09
1919,-.19,-.22,-.18,-.12,-.26,-.36,-.27,-.31,-.21,-.17,-.39,-.40,-.26,-.25,-.22,-.19,-.31,-.26
1920,-.20,-.21,-.06,-.24,-.25,-.34,-.29,-.22,-.17,-.25,-.25,-.42,-.24,-.24,-.27,-.18,-.29,-.22
1921,-.01,-.17,-.21,-.28,-.27,-.26,-.13,-.22,-.15,-.01,-.12,-.15,-.16,-.19,-.20,-.25,-.20,-.09
1922,-.32,-.43,-.11,-.23,-.32,-.31,-.24,-.29,-.30,-.30,-.12,-.17,-.26,-.26,-.30,-.22,-.28,-.24
1923,-.28,-.36,-.33,-.38,-.33,-.24,-.28,-.28,-.26,-.10,.02,-.01,-.24,-.25,-.27,-.35,-.27,-.11
1924,-.21,-.22,-.06,-.30,-.17,-.21,-.25,-.32,-.29,-.32,-.18,-.40,-.24,-.21,-.15,-.18,-.26,-.27
1925,-.35,-.37,-.24,-.24,-.29,-.32,-.26,-.14,-.15,-.16,.05,.10,-.20,-.24,-.37,-.25,-.24,-.09
1926,.21,.07,.13,-.11,-.21,-.21,-.23,-.11,-.11,-.08,-.03,-.26,-.08,-.05,.13,-.06,-.18,-.07
1927,-.26,-.16,-.35,-.29,-.23,-.25,-.15,-.19,-.09,.01,-.02,-.31,-.19,-.19,-.23,-.29,-.20,-.03
1928,.01,-.06,-.25,-.26,-.28,-.36,-.17,-.20,-.17,-.16,-.08,-.16,-.18,-.19,-.12,-.27,-.24,-.13
1929,-.45,-.58,-.31,-.39,-.37,-.39,-.32,-.29,-.22,-.10,-.11,-.52,-.34,-.31,-.40,-.35,-.33,-.14
1930,-.29,-.26,-.07,-.23,-.22,-.19,-.18,-.11,-.11,-.07,.18,-.05,-.13,-.17,-.36,-.17,-.16,.00
1931,-.09,-.23,-.07,-.20,-.18,-.06,-.01,-.02,-.06,.03,-.10,-.08,-.09,-.09,-.12,-.15,-.03,-.04
1932,.15,-.17,-.18,-.05,-.18,-.29,-.23,-.22,-.11,-.10,-.25,-.24,-.16,-.14,-.03,-.14,-.25,-.15
1933,-.33,-.33,-.29,-.25,-.28,-.33,-.20,-.23,-.26,-.20,-.29,-.45,-.29,-.27,-.30,-.27,-.26,-.25
1934,-.24,-.03,-.32,-.29,-.10,-.15,-.09,-.10,-.15,-.07,.04,-.03,-.13,-.16,-.24,-.24,-.11,-.06
1935,-.32,.16,-.12,-.35,-.30,-.26,-.22,-.21,-.20,-.07,-.27,-.19,-.20,-.18,-.07,-.25,-.23,-.18
1936,-.28,-.38,-.22,-.19,-.17,-.20,-.08,-.13,-.09,-.03,-.03,-.02,-.15,-.17,-.28,-.19,-.14,-.05
1937,-.13,.04,-.18,-.16,-.07,-.05,-.04,.02,.12,.09,.10,-.11,-.03,-.02,-.04,-.14,-.02,.10
1938,.02,-.02,.08,.05,-.10,-.18,-.09,-.05,.03,.12,.04,-.21,-.03,-.02,-.04,.01,-.11,.06
